Augmentation,Augmentation Type,Model,Corruption,Severity,Model Accuracy,Class Accuracy
cutmix_k_test,noise,ptv1,uniform,3,0.7382495948136143,0.6715988372093024
cutmix_k_test,noise,ptv1,uniform,4,0.7179902755267423,0.6437674418604651
cutmix_k_test,noise,ptv1,uniform,5,0.6709886547811994,0.5964011627906978
cutmix_k_test,noise,ptv1,upsampling,1,0.7658022690437601,0.695796511627907
cutmix_k_test,noise,ptv1,upsampling,2,0.7617504051863857,0.6990930232558139
cutmix_k_test,noise,ptv1,upsampling,3,0.7467585089141004,0.6842616279069768
cutmix_k_test,noise,ptv1,upsampling,4,0.7005672609400324,0.6362034883720931
cutmix_k_test,noise,ptv1,upsampling,5,0.5875202593192869,0.5306627906976744
cutmix_r_test,noise,ptv1,background,1,0.7552674230145867,0.7029069767441861
cutmix_r_test,noise,ptv1,background,2,0.7418962722852512,0.7008662790697675
cutmix_r_test,noise,ptv1,background,3,0.7212317666126418,0.6740406976744187
cutmix_r_test,noise,ptv1,background,4,0.6908427876823339,0.649953488372093
cutmix_r_test,noise,ptv1,background,5,0.5721231766612642,0.5258837209302326
cutmix_r_test,density,ptv1,cutout,1,0.8861426256077796,0.8500988372093022
cutmix_r_test,density,ptv1,cutout,2,0.8752025931928687,0.8345581395348838
cutmix_r_test,density,ptv1,cutout,3,0.8776337115072933,0.8417674418604651
cutmix_r_test,density,ptv1,cutout,4,0.86709886547812,0.8261569767441861
cutmix_r_test,density,ptv1,cutout,5,0.8298217179902755,0.7845348837209303
cutmix_r_test,density,ptv1,density,1,0.8865478119935171,0.8494709302325582
cutmix_r_test,density,ptv1,density,2,0.8853322528363047,0.8455523255813955
cutmix_r_test,density,ptv1,density,3,0.8618314424635333,0.8244767441860464
cutmix_r_test,density,ptv1,density,4,0.846839546191248,0.8039767441860466
cutmix_r_test,density,ptv1,density,5,0.830226904376013,0.7875232558139535
cutmix_r_test,density,ptv1,density_inc,1,0.8743922204213939,0.8338604651162791
